[16:04:54.064][INFO][CraftTweaker-EarlyInit]: CraftTweaker is running on a Minecraft 1.21.1 development client modded with platform NeoForge
[16:04:54.076][INFO][CraftTweaker-EarlyInit]: Successfully injected RecipeFS file system
[16:04:54.097][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:neoforge
[16:04:54.098][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:common
[16:04:54.103][INFO][CraftTweaker-Plugins]: Successfully identified and loaded plugin crafttweaker:compatibility
[16:04:54.435][INFO][CraftTweaker]: The following mods have explicit CraftTweaker support, provided through the CraftTweaker compatibility plugin:
[16:04:54.436][INFO][CraftTweaker]: - 'crafttweaker' version '21.0.27', supporting mods vanilla
[16:04:54.449][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.TextColor for native type 'net.minecraft.network.chat.TextColor'
[16:04:54.449][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.MutableComponent for native type 'net.minecraft.network.chat.MutableComponent'
[16:04:54.449][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.Component for native type 'net.minecraft.network.chat.Component'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.FormattedText for native type 'net.minecraft.network.chat.FormattedText'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.ChatFormatting for native type 'net.minecraft.ChatFormatting'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.Message for native type 'com.mojang.brigadier.Message'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.Style for native type 'net.minecraft.network.chat.Style'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.NbtContents for native type 'net.minecraft.network.chat.contents.NbtContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.KeybindContents for native type 'net.minecraft.network.chat.contents.KeybindContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.PlainTextContents for native type 'net.minecraft.network.chat.contents.PlainTextContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.LiteralContents for native type 'net.minecraft.network.chat.contents.PlainTextContents$LiteralContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.SelectorContents for native type 'net.minecraft.network.chat.contents.SelectorContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.ScoreContents for native type 'net.minecraft.network.chat.contents.ScoreContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.text.content.type.TranslatableContents for native type 'net.minecraft.network.chat.contents.TranslatableContents'
[16:04:54.450][DEBUG][CraftTweaker-ZenCode]: Registering crafttweaker.api.tooltip.TooltipFlag for native type 'net.minecraft.world.item.TooltipFlag'
